Date,USD (PM),Return,MA5,MA10
9/23/16,1338.65,-0.000336046598462,1326.5,1322.165
9/26/16,1340.5,0.001381989317596,1331.63,1323.755
9/27/16,1327,-0.010070869078702,1334.27,1324.09
9/28/16,1322.5,-0.003391107761869,1333.55,1324.165
9/29/16,1318.1,-0.003327032136106,1329.35,1324.895
9/30/16,1322.5,0.003338138229269,1326.12,1326.31
10/3/16,1313.3,-0.00695652173913,1320.68,1326.155
10/4/16,1283.3,-0.02284321937105,1311.94,1323.105
10/5/16,1269.4,-0.010831450167537,1301.32,1317.435
10/6/16,1254.5,-0.011737828895541,1288.6,1308.975
10/7/16,1258.75,0.003387803905939,1275.85,1300.985
10/10/16,1259.5,0.000595829195631,1265.09,1292.885
10/11/16,1253.45,-0.004803493449782,1259.12,1285.53
10/12/16,1256.5,0.002433284135785,1256.54,1278.93
10/13/16,1261.05,0.003621169916435,1257.85,1273.225
10/14/16,1251.75,-0.007374806708695,1256.45,1266.15
10/17/16,1254.8,0.002436588775714,1255.51,1260.3
10/18/16,1258.2,0.002709595154606,1256.46,1257.79
10/19/16,1269.05,0.00862343029725,1258.97,1257.755
10/20/16,1271.65,0.002048776643946,1261.09,1259.47
10/21/16,1266.05,-0.004403727440727,1263.95,1260.2
10/24/16,1265.55,-0.000394929110225,1266.1,1260.805
10/25/16,1269.4,0.003042155584529,1268.34,1262.4
10/26/16,1270.5,0.000866551126516,1268.63,1263.8
10/27/16,1266.25,-0.003345139708776,1267.55,1264.32
10/28/16,1273,0.00533070088845,1268.94,1266.445
10/31/16,1272,-0.000785545954438,1270.23,1268.165
11/1/16,1288.45,0.012932389937107,1274.04,1271.19
11/2/16,1303.75,0.011874733206566,1280.69,1274.66
11/3/16,1301,-0.002109300095877,1287.64,1277.595
11/4/16,1302.8,0.001383551114527,1293.6,1281.27
11/7/16,1283.05,-0.015159656125269,1295.81,1283.02
11/8/16,1282.35,-0.000545574997077,1294.59,1284.315
11/9/16,1281.4,-0.000740827387219,1290.12,1285.405
11/10/16,1267.5,-0.010847510535352,1283.42,1285.53
11/11/16,1236.45,-0.024497041420118,1270.15,1281.875
11/14/16,1213.6,-0.018480326741882,1256.26,1276.035
11/15/16,1226.95,0.011000329597891,1245.18,1269.885
11/16/16,1229.2,0.001833815558906,1234.74,1262.43
11/17/16,1226.75,-0.001993166287016,1226.59,1255.005
11/18/16,1211,-0.01283880171184,1221.5,1245.825
11/21/16,1214.25,0.002683732452519,1221.63,1238.945
11/22/16,1212.25,-0.001647107267861,1218.69,1231.935
11/23/16,1185.35,-0.022190142297381,1209.92,1222.33
11/24/16,1186.1,0.000632724511748,1201.79,1214.19
11/25/16,1187.7,0.001348958772448,1197.13,1209.315
11/28/16,1187,-0.00058937442115,1191.68,1206.655
11/29/16,1186.55,-0.000379106992418,1186.54,1202.615
11/30/16,1178.1,-0.007121486663015,1185.09,1197.505
12/1/16,1161.85,-0.013793396146337,1180.24,1191.015
12/2/16,1173.5,0.010027111933555,1177.4,1187.265
12/5/16,1162.2,-0.009629314017895,1172.44,1182.06
12/6/16,1172.5,0.008862502151093,1169.63,1178.085
12/7/16,1177.65,0.004392324093817,1169.54,1177.315
12/8/16,1171.05,-0.005604381607439,1171.38,1175.81
12/9/16,1163.6,-0.006361812049016,1169.4,1173.4
12/12/16,1156.1,-0.00644551392231,1168.18,1170.31
12/13/16,1158.55,0.002119193841363,1165.39,1167.51
12/14/16,1162.25,0.003193647231453,1162.31,1165.925
12/15/16,1126.95,-0.030372123037212,1153.49,1162.435
12/16/16,1131.6,0.004126181285771,1147.09,1158.245
12/19/16,1136.25,0.004109225874868,1143.12,1155.65
12/20/16,1125.7,-0.009284928492849,1136.55,1150.97
12/21/16,1133.65,0.007062272363862,1130.83,1146.57
12/22/16,1131.35,-0.002028844881577,1131.71,1142.6
12/28/16,1134.6,0.002872674238741,1132.31,1139.7
12/29/16,1145.9,0.009959457077384,1134.24,1138.68
1/3/17,1151,0.004450650143992,1139.3,1137.925
1/4/17,1164.25,0.011511728931364,1145.42,1138.125
1/5/17,1176.7,0.010693579557655,1154.49,1143.1
1/6/17,1175.85,-0.000722359139968,1162.74,1147.525
1/9/17,1178.5,0.002253688820853,1169.26,1151.75
1/10/17,1189.5,0.009333899024183,1176.96,1158.13
1/11/17,1178.55,-0.009205548549811,1179.82,1162.62
1/12/17,1205.05,0.022485257307709,1185.49,1169.99
1/13/17,1190.35,-0.012198663955853,1188.39,1175.565
1/16/17,1203,0.010627126475407,1193.29,1181.275
1/17/17,1216.05,0.010847880299252,1198.6,1187.78
1/18/17,1214.75,-0.001069034990338,1205.84,1192.83
1/19/17,1196.05,-0.01539411401523,1204.04,1194.765
1/20/17,1200.55,0.003762384515698,1206.08,1197.235
1/23/17,1212.85,0.010245304235559,1208.05,1200.67
1/24/17,1216.8,0.003256791853898,1208.2,1203.4
1/25/17,1195,-0.017915844838922,1204.25,1205.045
1/26/17,1189.7,-0.004435146443515,1202.98,1203.51
1/27/17,1184.85,-0.004076657981004,1199.84,1202.96
1/30/17,1192.8,0.006709710089885,1195.83,1201.94
1/31/17,1212.8,0.016767270288397,1195.03,1201.615
2/1/17,1203.65,-0.007544525065963,1196.76,1200.505
2/2/17,1221.95,0.015203755244465,1203.21,1203.095
2/3/17,1215.2,-0.00552395760874,1209.28,1204.56
2/6/17,1226.75,0.009504608294931,1216.07,1205.95
2/7/17,1231,0.003464438557163,1219.71,1207.37
2/8/17,1242.1,0.009017059301381,1227.4,1212.08
2/9/17,1236.8,-0.004266967232912,1230.37,1216.79
2/10/17,1228.3,-0.006872574385511,1232.99,1221.135
2/13/17,1222.25,-0.004925506798014,1232.09,1224.08
