Date,Value,Return,MA5,MA10,MA30
10/10/16,617.54,0.003069926094372,615.444,613.367,608.718
10/11/16,614.77,-0.004485539398258,615.982,613.362,608.488666666667
10/12/16,635.01,0.032922881728126,619.542,615.565,609.333333333333
10/13/16,635.96,0.00149603943245,623.786,617.976,610.168
10/14/16,634.02,-0.003050506321152,627.46,620.416,611.008
10/15/16,637.94,0.006182770259613,631.54,623.492,611.926666666667
10/16/16,641.42,0.005455058469448,636.87,626.426,613.003666666667
10/17/16,638.97,-0.003819650151227,637.662,628.602,614.068
10/18/16,636.29,-0.004194250121289,637.728,630.757,614.891666666667
10/19/16,629.25,-0.011064137421616,636.774,632.117,615.527
10/20/16,627.72,-0.002431466030989,634.73,633.135,616.162333333334
10/21/16,631.92,0.006690881284649,632.83,634.85,617.263666666667
10/22/16,655.48,0.037283200405115,636.132,636.897,619.199
10/23/16,653.25,-0.003402087020199,639.524,638.626,621.171333333333
10/24/16,651.39,-0.00284730195178,643.952,640.363,622.755
10/25/16,655.31,0.006017900182686,649.47,642.1,624.540666666667
10/26/16,651.45,-0.005890341975553,653.376,643.103,626.289666666667
10/27/16,682.22,0.047233095402564,658.724,647.428,628.831666666667
10/28/16,687.68,0.008003283398317,665.61,652.567,631.565333333333
10/29/16,685.91,-0.002573871568171,672.514,658.233,634.300666666667
10/30/16,698,0.017626219183275,681.052,665.261,637.254333333333
10/31/16,702,0.005730659025788,691.162,672.269,640.160333333333
11/1/16,697.01,-0.007108262108262,694.12,676.422,642.961333333333
11/2/16,733.33,0.052108291129252,703.25,684.43,647.010666666667
11/3/16,686.17,-0.064309383224469,703.302,687.908,649.562333333333
11/4/16,683.69,-0.003614264686594,700.44,690.746,652.112666666667
11/5/16,704.79,0.030861940353084,700.998,696.08,655.203
11/6/16,712,0.010229997587934,703.996,699.058,658.362666666667
11/7/16,709.96,-0.002865168539326,699.322,701.286,661.536666666667
11/8/16,708.97,-0.001394444757451,703.882,703.592,664.647333333333
11/9/16,720.93,0.016869543140048,711.33,705.885,668.093666666667
11/10/16,721.5,0.000790645416337,714.672,707.835,671.651333333333
11/11/16,715.45,-0.008385308385308,715.362,709.679,674.332666666667
11/12/16,703.71,-0.016409252917744,714.112,706.717,676.591
11/13/16,702.28,-0.002032087081326,712.774,708.328,678.866333333333
11/14/16,706.46,0.005952041920602,709.88,710.605,681.150333333333
11/15/16,710.91,0.0062990119752,707.762,711.217,683.466666666667
11/16/16,711.73,0.001153451210421,707.018,711.19,685.892
11/17/16,736.96,0.035448835934975,713.668,713.89,689.247666666667
11/18/16,747.52,0.014329135909683,722.716,717.745,693.19
11/19/16,748.98,0.001953125,731.22,720.55,697.232
11/20/16,729.06,-0.026596170792278,734.85,721.306,700.47
11/21/16,738.53,0.012989328724659,740.21,723.614,703.238333333333
11/22/16,736.97,-0.002112304171801,740.212,726.94,706.029
11/23/16,741.63,0.006323188189479,739.034,730.875,709.037
11/24/16,737.45,-0.005636233701441,736.728,733.974,711.775
11/25/16,735.64,-0.002454403688386,738.044,736.447,714.581333333334
11/26/16,733.67,-0.002677940296884,737.072,738.641,716.296333333334
11/27/16,727.96,-0.007782790627939,735.27,737.741,717.639
11/28/16,727.31,-0.000892906203638,732.406,735.72,719.019
11/29/16,732.71,0.007424619488251,731.458,734.093,720.176
11/30/16,742.69,0.013620668477297,732.868,735.456,721.532333333333
12/1/16,742.05,-0.000861732351318,734.544,735.808,723.033666666666
12/2/16,772.43,0.040940637423354,743.438,739.354,724.337
12/3/16,764.33,-0.010486387115985,750.842,741.624,726.942333333333
12/4/16,762.97,-0.001779336150616,756.894,744.176,729.585
12/5/16,754.63,-0.010930967141565,759.282,746.075,731.246333333333
12/6/16,756.62,0.002637053920464,762.196,748.37,732.733666666667
12/7/16,758.99,0.003132351774999,759.508,751.473,734.368
12/8/16,769.72,0.014137208658876,760.586,755.714,736.393
12/9/16,770.02,0.000389752117653,761.996,759.445,738.029333333334
12/10/16,769.08,-0.001220747513052,764.886,762.084,739.615333333334
12/11/16,777,0.010298018411609,768.962,765.579,741.667
12/12/16,777,0,772.564,766.036,744.11
12/13/16,777.99,0.001274131274131,774.218,767.402,746.633666666667
12/14/16,774.89,-0.003984627051762,775.192,768.594,748.914666666667
12/15/16,776.75,0.002400340693518,776.726,770.806,751.109333333333
12/16/16,775.88,-0.001120051496621,776.502,772.732,753.247666666667
12/17/16,788.7,0.016523173686653,778.842,775.703,754.972333333333
12/18/16,788.4,-0.00038037276531,780.924,777.571,756.335
12/19/16,788.67,0.000342465753425,783.68,779.436,757.658
12/20/16,793.09,0.005604371917278,786.948,781.837,759.792333333333
12/21/16,824.21,0.039238926225271,796.614,786.558,762.648333333333
12/22/16,834.97,0.01305492532243,805.868,792.355,765.915
12/23/16,901.31,0.079451956357713,828.45,804.687,771.237666666667
12/24/16,891.61,-0.010762112924521,849.038,816.359,776.376333333333
12/25/16,892.6,0.00111035093819,868.94,827.944,781.608333333333
12/26/16,897.33,0.005299126148331,883.564,840.089,787.063666666667
12/27/16,930.37,0.036820344800687,902.644,854.256,793.810666666667
12/28/16,930.34,-3.22452357663927E-05,908.45,868.45,800.578333333333
12/29/16,963.38,0.035513898144764,922.804,885.921,808.267333333333
12/30/16,952.15,-0.011656874753472,934.714,901.827,815.249333333333
12/31/16,958.12,0.006270020479966,946.872,915.218,822.451666666667
1/1/17,997.72,0.041330939757024,960.342,931.493,829.961333333333
1/2/17,1015.97,0.0182917050876,977.468,942.959,838.349333333333
1/3/17,1013.42,-0.002509916631397,987.476,955.14,846.697666666667
1/4/17,1126.76,0.111839119022715,1022.398,978.556,859.102
1/5/17,994.67,-0.117229933614967,1029.708,988.29,867.037
1/6/17,999.65,0.005006685634432,1030.094,995.218,875.059
1/7/17,896.83,-0.10285599959986,1006.266,991.867,879.296
1/8/17,908.14,0.012611085713011,985.21,986.343,883.9
1/9/17,910.49,0.002587706741251,941.956,982.177,888.613666666667
1/10/17,906.05,-0.004876495074081,924.232,976.97,892.915333333334
1/11/17,785.22,-0.133359086143149,881.346,955.72,893.189333333334
1/12/17,780.92,-0.005476172282927,858.164,932.215,893.287
1/13/17,826.29,0.058098140654613,841.794,913.502,895.000333333333
1/14/17,817.91,-0.010141717798836,823.278,882.617,896.372333333333
1/15/17,819.55,0.002005110586739,805.978,865.105,897.828
1/16/17,830.5,0.013360990787627,815.034,848.19,899.221333333333
1/17/17,903.84,0.088308248043348,839.618,848.891,903.069333333333
1/18/17,906.6,0.003053637812002,855.68,848.737,907.000333333333
1/19/17,895.798875,-0.011913881535407,871.257775,847.2678875,910.4239625
1/20/17,893.6210875,-0.002431112117661,886.0719925,846.02499625,912.737665416667
1/21/17,895.64,0.002259248945935,899.0999925,857.06699625,914.75999875
1/22/17,918.603625,0.02563934728239,902.0527175,870.83535875,915.336452916667
1/23/17,922.0736125,0.003777458966592,905.14744,880.41372,916.351906666666
1/24/17,919.97,-0.002281393233124,909.981665,890.61972,917.26424
1/25/17,893.045625,-0.029266579344979,909.8665725,897.9692825,917.1214275
1/26/17,915.95625,0.025654484338356,913.9298225,906.5149075,916.640969166667
1/27/17,915.05,-0.000989403151078,913.2190975,907.6359075,916.1313025
1/28/17,920.31225,0.005750778645976,912.866825,909.0071325,914.695710833333
1/29/17,915.933,-0.004758439323175,912.059425,911.020545,913.4884775
1/30/17,912.19,-0.004086543448047,915.8883,912.87743625,911.9574775
1/31/17,964.706075,0.057571421524025,925.638265,919.78404375,910.857013333333
2/1/17,979.703875,0.01554649689544,938.56904,925.89406875,909.6481425
2/2/17,983.42,0.003793110443704,951.19059,932.0287075,908.6481425
2/3/17,1013.027,0.030106160135039,970.60939,941.3344075,904.8570425
2/4/17,1030.999413,0.017741297122387,994.3712726,955.1297863,906.068022933333
2/5/17,1034.07,0.00297826260741,1008.2440576,966.9411613,907.215356266667
2/6/17,1024.01375,-0.009724921910509,1017.1060326,977.8375363,911.4548146
2/7/17,1050.11,0.025484276944523,1030.4440326,990.8173113,916.187147933333
2/8/17,1052.84,0.00259972764758,1038.4066326,1004.5080113,920.932147933334
2/9/17,976.103,-0.072885718627712,1027.42735,1010.8993113,923.267247933334
2/10/17,999.1035,0.023563599333267,1020.43405,1014.3390538,930.396697933333
2/11/17,997.59,-0.00151485807026,1015.1493,1016.1276663,937.619031266667
2/12/17,1000.604625,0.003021907797793,1005.248225,1017.8461288,943.429518766667
2/13/17,999.877375,-0.00072681055217,994.6557,1016.5311663,949.495097933333
2/14/17,1001.2,0.001322787206781,999.6751,1013.551225,955.550097933334
2/15/17,1012.325988,0.01111265281662,1002.3195976,1011.3768238,961.6109642
2/16/17,1035.208125,0.022603526207212,1009.8432226,1012.4962613,965.9899017
2/17/17,1035.2,-7.84866328218392E-06,1016.7622976,1011.0052613,970.276568366667
2/18/17,1056.637138,0.020708209041731,1028.1142502,1011.3849751,975.6378438
2/19/17,1052.779286,-0.003651066067299,1038.4301074,1019.0526037,980.943117083334
2/20/17,1050.87,-0.001813567217165,1046.1389098,1024.2292537,986.117450416667
2/21/17,1123.788429,0.069388629421337,1063.8549706,1036.8490966,992.956943883334
2/22/17,1123.223188,-0.000502978127745,1081.4596082,1049.1109529,999.661929733333
2/23/17,1130.01,0.006042264861078,1096.1341806,1062.1242154,1006.66326306667
2/24/17,1174.86625,0.039695445173052,1120.5515734,1079.4908404,1016.0572839
2/25/17,1150.605714,-0.020649615222158,1140.4987162,1093.318813,1023.8789327
2/26/17,1150.37,-0.000204860793869,1145.8150304,1104.8350005,1031.7229327
2/27/17,1190.75195,0.035103444978572,1159.3207828,1120.3901955,1040.73758936667
2/28/17,1187.565286,-0.002676177855514,1170.83184,1133.4830103,1049.7919989
3/1/17,1190.89,0.002799605242082,1174.03659,1147.2940817,1059.0819989
3/2/17,1259.410817,0.05753748624978,1195.7976106,1168.1481634,1068.9054903
3/3/17,1285.14,0.020429539474092,1222.7516106,1184.2833205,1079.08669446667
3/4/17,1287,0.001447313133199,1242.0012206,1200.6610017,1089.2060278
3/5/17,1270.9333,-0.012483838383839,1258.6748234,1214.7533317,1097.80290446667
3/6/17,1275.197375,0.003355073787114,1275.5362984,1224.7864442,1105.94283653333
